Jar_ID,DO,Unit_1,Location,Date_time,Lid_Treatment,Jar_type
J-104,18.977,%O2,Head space,2018-11-10T11:49:34Z,Tight,Experimental
J-104,18.996,%O2,Head space,2018-11-10T11:49:54Z,Tight,Experimental
J-107,18.9,%O2,Head space,2018-11-10T11:50:52Z,Loose,Experimental
J-107,18.907,%O2,Head space,2018-11-10T11:50:56Z,Loose,Experimental
J-104,19.125,%O2,Head space,2018-11-10T11:53:03Z,Tight,Experimental
J-105,19.182,%O2,Head space,2018-11-10T11:54:30Z,Loose,Experimental
J-107,18.978,%O2,Head space,2018-11-10T11:54:55Z,Loose,Experimental
J-103,19.057,%O2,Head space,2018-11-10T11:55:15Z,Tight,Experimental
J-108,19.06,%O2,Head space,2018-11-10T11:55:38Z,Loose,Experimental
J-101,19.064,%O2,Head space,2018-11-10T11:56:00Z,Tight,Experimental
J-102,19.079,%O2,Head space,2018-11-10T11:56:20Z,Loose,Experimental
J-110,19.068,%O2,Head space,2018-11-10T11:56:43Z,Tight,Experimental
J-106,19.182,%O2,Head space,2018-11-10T11:57:05Z,Loose,Experimental
J-109,19.025,%O2,Head space,2018-11-10T11:57:24Z,Tight,Experimental
J-101,18.976,%O2,Head space,2018-11-12T16:32:09Z,Tight,Experimental
J-102,18.975,%O2,Head space,2018-11-12T16:32:23Z,Loose,Experimental
J-110,18.908,%O2,Head space,2018-11-12T16:32:33Z,Tight,Experimental
J-106,19.007,%O2,Head space,2018-11-12T16:32:41Z,Loose,Experimental
J-109,18.914,%O2,Head space,2018-11-12T16:32:49Z,Tight,Experimental
J-104,19.087,%O2,Head space,2018-11-12T16:32:58Z,Tight,Experimental
J-105,19.067,%O2,Head space,2018-11-12T16:33:07Z,Loose,Experimental
J-107,18.939,%O2,Head space,2018-11-12T16:33:15Z,Loose,Experimental
J-103,19.008,%O2,Head space,2018-11-12T16:33:23Z,Tight,Experimental
J-108,19.032,%O2,Head space,2018-11-12T16:33:34Z,Loose,Experimental
J-101,19.027,%O2,Head space,2018-11-13T09:18:54Z,Tight,Experimental
J-102,19.022,%O2,Head space,2018-11-13T09:19:10Z,Loose,Experimental
J-110,18.998,%O2,Head space,2018-11-13T09:19:24Z,Tight,Experimental
J-106,19.146,%O2,Head space,2018-11-13T09:19:35Z,Loose,Experimental
J-109,19.002,%O2,Head space,2018-11-13T09:19:48Z,Tight,Experimental
J-01,NA,NA,NA,NA,Tight,Stock
J-02,NA,NA,NA,NA,Loose,Stock
