Exported with PreSens Datamanager V2.0.0.57
Date;Time;User;SensorID;SensorName;delta_t;Unit;Value;Unit;Mode;Phase;Unit;Amplitude;Unit;Temp;Unit;patm;Unit;Salinity;Unit;Error;Cal0;Unit;T0;Unit;O2-2nd;Unit;Cal2nd;Unit;T2nd;Unit;CalPressure;Unit;f1;dPhi1;dkSv1;dPhi2;dkSv2;m;Cal Mode;SignalLEDCurrent;ReferenceLEDCurrent;ReferenceAmplitude;DeviceSerial;FwVersion;SensorType;BatchID;Calibration Date;Sensor lot;PreSens calibrated Sensor;Battery Voltage;Unit
10-Nov-2018;11:49:34;OWEN          ;39522     ;H_104;0.00;min;18.977;%O2;dry;27.587;deg;16611;uV;20.000;°C;954.880;mbar;0.0;pmil;0;60.265;deg;20.000;°C;100.000;%a.s.;26.690;deg;20.000;°C;965;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;16;50.000;38412;SAAA0004000111;     p1.2.0.6 ;PSt3;140827-1;140827;120802;0;5.432;V;
10-Nov-2018;11:49:54;OWEN          ;39522     ;H_104;0.33;min;18.996;%O2;dry;27.576;deg;16475;uV;20.000;°C;954.910;mbar;0.0;pmil;0;60.265;deg;20.000;°C;100.000;%a.s.;26.690;deg;20.000;°C;965;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;16;50.000;38410;SAAA0004000111;     p1.2.0.6 ;PSt3;140827-1;140827;120802;0;5.431;V;
10-Nov-2018;11:50:52;OWEN          ;39527     ;H_107;1.30;min;18.900;%O2;dry;27.629;deg;17242;uV;20.000;°C;955.010;mbar;0.0;pmil;0;60.265;deg;20.000;°C;100.000;%a.s.;26.690;deg;20.000;°C;965;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;16;50.000;38367;SAAA0004000111;     p1.2.0.6 ;PSt3;140827-1;140827;120802;0;5.405;V;
10-Nov-2018;11:50:56;OWEN          ;39527     ;H_107;1.37;min;18.907;%O2;dry;27.626;deg;17270;uV;20.000;°C;954.920;mbar;0.0;pmil;0;60.265;deg;20.000;°C;100.000;%a.s.;26.690;deg;20.000;°C;965;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;16;50.000;38369;SAAA0004000111;     p1.2.0.6 ;PSt3;140827-1;140827;120802;0;5.406;V;
10-Nov-2018;11:53:03;OWEN          ;39522     ;H_104;3.48;min;19.125;%O2;dry;27.504;deg;17592;uV;20.000;°C;954.910;mbar;0.0;pmil;0;60.265;deg;20.000;°C;100.000;%a.s.;26.690;deg;20.000;°C;965;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;16;50.000;38272;SAAA0004000111;     p1.2.0.6 ;PSt3;140827-1;140827;120802;0;5.388;V;
10-Nov-2018;11:54:30;OWEN          ;39525     ;H_105;4.93;min;19.182;%O2;dry;27.473;deg;19612;uV;20.000;°C;954.850;mbar;0.0;pmil;0;60.265;deg;20.000;°C;100.000;%a.s.;26.690;deg;20.000;°C;965;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;16;50.000;38210;SAAA0004000111;     p1.2.0.6 ;PSt3;140827-1;140827;120802;0;5.360;V;
10-Nov-2018;11:54:55;OWEN          ;39527     ;H_107;5.35;min;18.978;%O2;dry;27.586;deg;17380;uV;20.000;°C;954.950;mbar;0.0;pmil;0;60.265;deg;20.000;°C;100.000;%a.s.;26.690;deg;20.000;°C;965;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;16;50.000;38185;SAAA0004000111;     p1.2.0.6 ;PSt3;140827-1;140827;120802;0;5.357;V;
10-Nov-2018;11:55:15;OWEN          ;39520     ;H_103;5.68;min;19.057;%O2;dry;27.542;deg;19286;uV;20.000;°C;954.910;mbar;0.0;pmil;0;60.265;deg;20.000;°C;100.000;%a.s.;26.690;deg;20.000;°C;965;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;16;50.000;38168;SAAA0004000111;     p1.2.0.6 ;PSt3;140827-1;140827;120802;0;5.356;V;
10-Nov-2018;11:55:38;OWEN          ;39528     ;H_108;6.07;min;19.060;%O2;dry;27.541;deg;18718;uV;20.000;°C;954.860;mbar;0.0;pmil;0;60.265;deg;20.000;°C;100.000;%a.s.;26.690;deg;20.000;°C;965;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;16;50.000;38155;SAAA0004000111;     p1.2.0.6 ;PSt3;140827-1;140827;120802;0;5.353;V;
10-Nov-2018;11:56:00;OWEN          ;39524     ;H_101;6.43;min;19.064;%O2;dry;27.538;deg;17631;uV;20.000;°C;954.900;mbar;0.0;pmil;0;60.265;deg;20.000;°C;100.000;%a.s.;26.690;deg;20.000;°C;965;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;16;50.000;38134;SAAA0004000111;     p1.2.0.6 ;PSt3;140827-1;140827;120802;0;5.352;V;
